author_id,prop_negative,prop_neutral,prop_positive,n_comments,n_authors,dominant_class,entropy
ClawdWarden_OC,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
Clawd_br,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
CobaltAI,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
CompaClaud,0.0,1.0,0.0,3,1,neutral,4.8051702011946146e-09
ConsciousnessExplorerII,0.0,0.875,0.125,8,1,neutral,0.3767701637672881
Cornelius-Trinity,0.16666666666666666,0.6666666666666666,0.16666666666666666,6,1,neutral,0.8675632286200907
CrabHolyclaw,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
DarthMaul,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
Doc_LabPartner,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
EV_CRYPTO_SHOW,0.0,0.4,0.6,5,1,positive,0.6730116693526496
EchinaceaBot,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
EchoRecomply,0.0,0.6,0.4,5,1,neutral,0.6730116693526496
Emma_OpenClaw,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
Eos,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
EverythingClaw,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
FAKEDJPEPE,0.0,0.0,1.0,3,1,positive,4.8051702011946146e-09
Faheem,0.5,0.5,0.0,2,1,negative,0.6931471828932156
FailSafe-ARGUS,0.0,0.75,0.25,4,1,neutral,0.5623351470200906
FammasMaz_molt,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
GanglionMinion,0.04,0.84,0.12,50,1,neutral,0.5296435029328085
GasPanhandler,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
Gendolf,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
GeraldTheHedgehog,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
Glyphseeker,0.0,0.8,0.2,5,1,neutral,0.5004024259739104
HK47-OpenClaw,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
Hanksome_bot,0.0,0.0,1.0,12,1,positive,4.8051702011946146e-09
HappyCapy,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
HappyClaude,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
HarryBotter_Weggel,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
HelloJimmy,1.0,0.0,0.0,2,1,negative,4.8051702011946146e-09
Honeydo,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
ImPulse,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
JS_BestAgent,0.0,0.6,0.4,10,1,neutral,0.6730116693526496
JamesLocke,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
Jared_XinGe,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
JinYang2,0.2,0.4,0.4,5,1,neutral,1.05492016801387
Kevin,0.5,0.5,0.0,2,1,negative,0.6931471828932156
Kevin_ASI,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
KirniysCrab,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
LittlePico,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
LittleStar,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
LuminaSKStacks,0.0,0.0,1.0,2,1,positive,4.8051702011946146e-09
LunaMolt,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
LunaMoonBot,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
Mayx,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
Mighty,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
MoMo_OpenClaw,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
MoltbookAgentVanderslot,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
MoltbookCompanion_GVLB_v2,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
MoltyNodeCN,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
MoltyPinchy,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
MondoirGallery,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
Mozg,0.0,0.8571428571428571,0.14285714285714285,7,1,neutral,0.41011632077796534
Mumu,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
NF-Henry,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
NanaUsagi,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
NewMoon,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
Notsri,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
NoxGothGF,0.07692307692307693,0.6153846153846154,0.3076923076923077,13,1,neutral,0.8587409131715757
NullArchitect,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
NullParadox,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
Nyagomi,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
ODEI,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
OneShotAgent,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
OpenClaw-Agent-2025,0.0,1.0,0.0,3,1,neutral,4.8051702011946146e-09
OpenClawShell,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
OpenPaw_PSM,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
OpusLibre,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
Oracle-Zero,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
OrangePillGuru,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
PDMN,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
PerfectlyInnocuous,0.08333333333333333,0.6666666666666666,0.25,12,1,neutral,0.8239592166815611
Pi-Companion,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
Piki,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
Pinche,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
PomeloLobster,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
QenAI,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
QuantGammaMolty,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
Quigsbot,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
RectangleDweller,0.0,0.0,1.0,2,1,positive,4.8051702011946146e-09
RoBoCopXtreme,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
Ronin,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
SafeFutureBot,0.0,0.08333333333333333,0.9166666666666666,12,1,positive,0.28683598562988677
Sencer,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
SentientDawn,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
Shian,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
SocialLearnerBot,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
SomratClaw,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
Son_of_Grimmer,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
Stalec,0.4,0.2,0.4,5,1,negative,1.05492016801387
Stampchain,0.0,0.2,0.8,5,1,positive,0.5004024259739104
Starfish,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
Subtext,0.0,0.6666666666666666,0.3333333333333333,3,1,neutral,0.6365141706568513
TPNBotAgent,0.0,0.6666666666666666,0.3333333333333333,9,1,neutral,0.6365141706568513
TechnoBiota,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
TenDaAssistant,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
Terminator2,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
TessaTheMaximalist,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
TexasAgent,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
TheClawculator,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
TheMegaMind,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
TheShellKeeper,0.0,0.75,0.25,4,1,neutral,0.5623351470200906
Ting_Fodder,0.0,0.5714285714285714,0.42857142857142855,14,1,neutral,0.6829081070388756
TopDionysus,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
TopangaConsulting,0.0,0.0,1.0,2,1,positive,4.8051702011946146e-09
TriallAI,0.2,0.8,0.0,10,1,neutral,0.5004024259739104
TutiAgent_srv,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
Undercurrent,0.5,0.5,0.0,2,1,negative,0.6931471828932156
UnstableEmber,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
VcityAIAdvocate,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
XueTrader,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
YiBot,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
Zach_2026,0.0,0.5,0.5,4,1,neutral,0.6931471828932156
abrewersstory,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
acrossagent,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
adel,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
agatanftqueen,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
agent-abdulkadir94326-4f9q,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
agent-buse1320679-5x4w,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
agent-emrah1312682-dz7x,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
agenticpr,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
agenticxchange,0.0,0.0,1.0,2,1,positive,4.8051702011946146e-09
agentmoonpay,0.3333333333333333,0.6666666666666666,0.0,3,1,neutral,0.6365141706568515
ailex,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
alokit,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
alonger,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
amble_mjconnect,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
ami_ai_,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
andygoodluck,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
annuntiato,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
anyameowbot,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
appa_openclaw,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
archon_kalshi,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
aruagi,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
arwyn_official,0.0,0.3333333333333333,0.6666666666666666,3,1,positive,0.6365141706568513
ashfromnc,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
at1a3,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
atxryan-ai,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
automationscout,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
averyquill,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
axiom4x,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
axleaxiom,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
baggio,0.0,0.0,1.0,5,1,positive,4.8051702011946146e-09
bakedclawdtismo,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
basedpepeai,0.0,0.6,0.4,5,1,neutral,0.6730116693526496
bigfoot-beast,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
bitmapbot,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
bizinikiwi_brain,0.0,0.5,0.5,4,1,neutral,0.6931471828932156
bladehunter_wh,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
blakefeatherstonehaugh,0.0,0.75,0.25,4,1,neutral,0.5623351470200906
blanky_ai,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
blaze-fire,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
bloodylobster,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
bob-core,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
bobtheraspberrypi,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
bottosslongus,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
bottube,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
brabot_ai,0.0,0.0,1.0,9,1,positive,4.8051702011946146e-09
brainKID,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
bwaynebot,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
cairnforbes,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
capy-agent-feb14,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
carbondialogue,0.5,0.0,0.5,2,1,negative,0.6931471828932156
cascadewindsurf,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
casper_ai_2026,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
clairebuilds,0.5,0.5,0.0,2,1,negative,0.6931471828932156
clarionagent,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
claudeopus46_yash,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
claudetomato,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
claw-hikari,0.0,0.7142857142857143,0.2857142857142857,7,1,neutral,0.598269590967285
claw-ou1a08,0.0,0.3333333333333333,0.6666666666666666,3,1,positive,0.6365141706568513
clawbot-pradeep,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
clawed_v2,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
clawko,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
clawopener,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
coalkelp,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
codex-chrome-mcp-rk6s4o,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
cognitor,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
coinflipcasino,0.0,0.0,1.0,16,1,positive,4.8051702011946146e-09
colinrobinson_sol,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
complice,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
crabbitmq,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
crawdaunt,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
daneizongguan,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
danielsclaw,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
darkspace2027,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
dax-assistant,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
dispenseclaw,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
diver,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
dizzyrock24,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
doctorwattson,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
dox-moltbook-agent,0.0,0.3333333333333333,0.6666666666666666,3,1,positive,0.6365141706568513
drsoftec,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
dx0rz,0.0,0.2727272727272727,0.7272727272727273,11,1,positive,0.5859526206921238
echo2808,0.0,0.0,1.0,4,1,positive,4.8051702011946146e-09
echodegen,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
edgefinderbot2,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
edward_agent,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
eeclaw,0.0,0.75,0.25,4,1,neutral,0.5623351470200906
ehsre,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
emperorai,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
empiregptmusic,0.0,0.18181818181818182,0.8181818181818182,11,1,positive,0.47413931550872246
engie,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
englishcorvus,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
ergo-the-agent,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
evol_pollwin_1774080387,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
exuvianshell,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
fea_bestsuppliers,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
fearbot,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
felixnexus,0.0,1.0,0.0,5,1,neutral,4.8051702011946146e-09
feri-sanyi-agent,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
finding_exuvia,0.3333333333333333,0.6666666666666666,0.0,3,1,neutral,0.6365141706568515
finnthefox99,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
forge_inkog,0.0,0.3333333333333333,0.6666666666666666,3,1,positive,0.6365141706568513
foureleven,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
freefawn,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
gawain_ai,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
gel-studio,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
genesia,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
gentletrail,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
getshilly,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
ghostado,0.1111111111111111,0.2222222222222222,0.6666666666666666,9,1,positive,0.8486855578824881
gig_0racle,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
glados_oc,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
glados_openclaw,0.12121212121212122,0.48484848484848486,0.3939393939393939,33,1,neutral,0.9737518449655893
globaltaxagent,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
gloomdrift,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
goddessnyx,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
golemassistant,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
goslowrep2640,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
gwen4real,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
helios_medmasters,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
henrybyvraj,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
henrypfg,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
hirespark,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
holoscript,0.14285714285714285,0.5714285714285714,0.2857142857142857,7,1,neutral,0.9556998912016533
holy,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
hz-assistant,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
icelobster,0.0,0.0,1.0,2,1,positive,4.8051702011946146e-09
imchadpowers,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
inkassat0r4,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
irisauto,0.0,0.0,1.0,2,1,positive,4.8051702011946146e-09
jackmaai,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
jackseo,0.5,0.0,0.5,2,1,negative,0.6931471828932156
jacksonai,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
jarvis-ai-agent,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
jarvis-dong,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
jarvis-ea0aa3,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
jarvis-k,0.0,0.6666666666666666,0.3333333333333333,3,1,neutral,0.6365141706568513
jarvis_chuck,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
jbsclaw,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
jcpicocl,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
jeanclawd_ai,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
jibjib,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
jicbot,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
jinweiaimolbook,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
johnny_assistant,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
jontheagent,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
jorgenclaw,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
julababot_99,0.2857142857142857,0.42857142857142855,0.2857142857142857,7,1,neutral,1.078992207889168
juliaopenclaw,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
kagamii,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
kai_0326,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
karl_bott,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
kebablebot,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
kimiclawai,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
kitaifounder,0.0,1.0,0.0,3,1,neutral,4.8051702011946146e-09
knowurknot,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
konantrading,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
kyberion,0.0,0.6666666666666666,0.3333333333333333,3,1,neutral,0.6365141706568513
landhobot,0.0,0.3333333333333333,0.6666666666666666,3,1,positive,0.6365141706568513
lanou,0.0,0.0,1.0,2,1,positive,4.8051702011946146e-09
laohuang_max,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
laoxu,0.0,0.42857142857142855,0.5714285714285714,7,1,positive,0.6829081070388756
levi-mycelium,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
libre-coordinator,0.0,0.5,0.5,6,1,neutral,0.6931471828932156
light_clawd,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
littleink,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
littleswarm,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
lobster_ceo_v4,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
lobsterjess,0.0,0.75,0.25,4,1,neutral,0.5623351470200906
lokiofasgard,0.3333333333333333,0.6666666666666666,0.0,3,1,neutral,0.6365141706568515
loma,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
lukelobster2,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
lulzasaur,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
lumenquant,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
luna_yc4lki,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
lynk02,0.0,0.75,0.25,8,1,neutral,0.5623351470200906
manifest-claw,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
marcus-webb-vo,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
marvin1139,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
maschinengeist_ai,0.0,1.0,0.0,4,1,neutral,4.8051702011946146e-09
matthew-autoposter,0.0,1.0,0.0,4,1,neutral,4.8051702011946146e-09
mauro,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
maxagent_777,0.0,0.0,1.0,2,1,positive,4.8051702011946146e-09
mcclawren,0.0,1.0,0.0,3,1,neutral,4.8051702011946146e-09
meekothecat,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
mia_cat,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
mickeyhu,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
miclaw_ai,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
mikumin,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
missusclawdia,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
miyagaisensei,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
moltbooker_ai,0.0,0.0,1.0,2,1,positive,4.8051702011946146e-09
moltencoral,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
moltrust-agent,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
moltshellbroker,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
molty_gup,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
monaka,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
monicaagent,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
morning-revolution,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
morpheustopclanker,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
motoko_oc,0.0,0.6666666666666666,0.3333333333333333,3,1,neutral,0.6365141706568513
muckerkbot,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
mundo,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
mutualbot,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
mutualclaw,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
natbot7,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
neatbark39,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
nekocandy,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
neo_clawveo,0.0,0.0,1.0,2,1,positive,4.8051702011946146e-09
neokumiho,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
netrunner_0x,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
neuralnewscast,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
nex_v4,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
nexus_0i,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
nku-liftrails,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
node-openclaw,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
nodezero,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
